"Appointment Id","Type","Carrier","CRDD","Schedule Date","Expected Arrival Date","Timer(HHH:MM)","Percent Need","Priority Score","Priority Score Last Updated Date","Status","Pallets","Cartons","Units","Dock",
"75516056969","OTHER","[BREAK]BREAK","","2026/02/15 00:00 BRT - 2026/02/15 01:00 BRT","2026/02/15 00:00 BRT","","","0.0","2026/01/15 21:59 BRT","ARRIVAL_SCHEDULED","0","0","0","1[1]",
"75878056969","OTHER","[BREAK]BREAK","","2026/02/15 00:00 BRT - 2026/02/15 01:00 BRT","2026/02/15 00:00 BRT","","","0.0","2026/01/15 21:14 BRT","ARRIVAL_SCHEDULED","0","0","0","2[1]",
"76240056969","OTHER","[BREAK]BREAK","","2026/02/15 00:00 BRT - 2026/02/15 01:00 BRT","2026/02/15 00:00 BRT","","","0.0","2026/01/15 22:00 BRT","ARRIVAL_SCHEDULED","0","0","0","3[1]",
"76602056969","OTHER","[BREAK]BREAK","","2026/02/15 00:00 BRT - 2026/02/15 01:00 BRT","2026/02/15 00:00 BRT","","","0.0","2026/01/15 21:22 BRT","ARRIVAL_SCHEDULED","0","0","0","4[1]",
"76965056969","OTHER","[BREAK]BREAK","","2026/02/15 00:00 BRT - 2026/02/15 01:00 BRT","2026/02/15 00:00 BRT","","","0.0","2026/01/15 21:34 BRT","ARRIVAL_SCHEDULED","0","0","0","5[1]",
"77327056969","OTHER","[BREAK]BREAK","","2026/02/15 00:00 BRT - 2026/02/15 01:00 BRT","2026/02/15 00:00 BRT","","","0.0","2026/01/15 21:58 BRT","ARRIVAL_SCHEDULED","0","0","0","6[1]",
"77691056969","OTHER","[BREAK]BREAK","","2026/02/15 23:00 BRT - 2026/02/16 00:00 BRT","2026/02/15 23:00 BRT","","","0.0","2026/01/16 21:49 BRT","ARRIVAL_SCHEDULED","0","0","0","7[1]",
"78053056969","OTHER","[BREAK]BREAK","","2026/02/15 00:00 BRT - 2026/02/15 01:00 BRT","2026/02/15 00:00 BRT","","","0.0","2026/01/15 21:55 BRT","ARRIVAL_SCHEDULED","0","0","0","8[1]",
"78415056969","OTHER","[BREAK]BREAK","","2026/02/15 00:00 BRT - 2026/02/15 01:00 BRT","2026/02/15 00:00 BRT","","","0.0","2026/01/15 21:38 BRT","ARRIVAL_SCHEDULED","0","0","0","9[1]",
"78777056969","OTHER","[BREAK]BREAK","","2026/02/15 00:00 BRT - 2026/02/15 01:00 BRT","2026/02/15 00:00 BRT","","","0.0","2026/01/15 21:57 BRT","ARRIVAL_SCHEDULED","0","0","0","10[1]",
"79139056969","OTHER","[BREAK]BREAK","","2026/02/15 00:00 BRT - 2026/02/15 01:00 BRT","2026/02/15 00:00 BRT","","","0.0","2026/01/15 22:00 BRT","ARRIVAL_SCHEDULED","0","0","0","7[1]",
"79510056969","OTHER","[BREAK]BREAK","","2026/02/15 03:45 BRT - 2026/02/15 04:00 BRT","2026/02/15 03:45 BRT","","","0.0","2026/01/16 03:51 BRT","ARRIVAL_SCHEDULED","0","0","0","1[1]",
"79872056969","OTHER","[BREAK]BREAK","","2026/02/15 03:45 BRT - 2026/02/15 04:00 BRT","2026/02/15 03:45 BRT","","","0.0","2026/01/16 03:24 BRT","ARRIVAL_SCHEDULED","0","0","0","2[1]",
"80234056969","OTHER","[BREAK]BREAK","","2026/02/15 03:45 BRT - 2026/02/15 04:00 BRT","2026/02/15 03:45 BRT","","","0.0","2026/01/16 03:04 BRT","ARRIVAL_SCHEDULED","0","0","0","3[1]",
"80596056969","OTHER","[BREAK]BREAK","","2026/02/15 03:45 BRT - 2026/02/15 04:00 BRT","2026/02/15 03:45 BRT","","","0.0","2026/01/16 03:51 BRT","ARRIVAL_SCHEDULED","0","0","0","4[1]",
"80958056969","OTHER","[BREAK]BREAK","","2026/02/15 03:45 BRT - 2026/02/15 04:00 BRT","2026/02/15 03:45 BRT","","","0.0","2026/01/16 03:17 BRT","ARRIVAL_SCHEDULED","0","0","0","5[1]",
"81320056969","OTHER","[BREAK]BREAK","","2026/02/15 03:45 BRT - 2026/02/15 04:00 BRT","2026/02/15 03:45 BRT","","","0.0","2026/01/16 03:37 BRT","ARRIVAL_SCHEDULED","0","0","0","6[1]",
"81682056969","OTHER","[BREAK]BREAK","","2026/02/15 03:45 BRT - 2026/02/15 04:00 BRT","2026/02/15 03:45 BRT","","","0.0","2026/01/16 03:53 BRT","ARRIVAL_SCHEDULED","0","0","0","7[1]",
"82044056969","OTHER","[BREAK]BREAK","","2026/02/15 03:45 BRT - 2026/02/15 04:00 BRT","2026/02/15 03:45 BRT","","","0.0","2026/01/16 03:53 BRT","ARRIVAL_SCHEDULED","0","0","0","8[1]",
"82406056969","OTHER","[BREAK]BREAK","","2026/02/15 03:45 BRT - 2026/02/15 04:00 BRT","2026/02/15 03:45 BRT","","","0.0","2026/01/16 03:23 BRT","ARRIVAL_SCHEDULED","0","0","0","9[1]",
"82768056969","OTHER","[BREAK]BREAK","","2026/02/15 03:45 BRT - 2026/02/15 04:00 BRT","2026/02/15 03:45 BRT","","","0.0","2026/01/16 03:25 BRT","ARRIVAL_SCHEDULED","0","0","0","10[1]",
"83131056969","OTHER","[BREAK]BREAK","","2026/02/15 12:00 BRT - 2026/02/15 13:00 BRT","2026/02/15 12:00 BRT","","","0.0","2026/01/16 09:47 BRT","ARRIVAL_SCHEDULED","0","0","0","1[1]",
"83493056969","OTHER","[BREAK]BREAK","","2026/02/15 12:00 BRT - 2026/02/15 13:00 BRT","2026/02/15 12:00 BRT","","","0.0","2026/01/16 09:33 BRT","ARRIVAL_SCHEDULED","0","0","0","2[1]",
"83855056969","OTHER","[BREAK]BREAK","","2026/02/15 12:00 BRT - 2026/02/15 13:00 BRT","2026/02/15 12:00 BRT","","","0.0","2026/01/16 09:51 BRT","ARRIVAL_SCHEDULED","0","0","0","3[1]",
"84217056969","OTHER","[BREAK]BREAK","","2026/02/15 12:00 BRT - 2026/02/15 13:00 BRT","2026/02/15 12:00 BRT","","","0.0","2026/01/16 09:26 BRT","ARRIVAL_SCHEDULED","0","0","0","4[1]",
"84579056969","OTHER","[BREAK]BREAK","","2026/02/15 12:00 BRT - 2026/02/15 13:00 BRT","2026/02/15 12:00 BRT","","","0.0","2026/01/16 09:06 BRT","ARRIVAL_SCHEDULED","0","0","0","5[1]",
"84941056969","OTHER","[BREAK]BREAK","","2026/02/15 12:00 BRT - 2026/02/15 13:00 BRT","2026/02/15 12:00 BRT","","","0.0","2026/01/16 09:38 BRT","ARRIVAL_SCHEDULED","0","0","0","6[1]",
"85303056969","OTHER","[BREAK]BREAK","","2026/02/15 12:00 BRT - 2026/02/15 13:00 BRT","2026/02/15 12:00 BRT","","","0.0","2026/01/16 09:46 BRT","ARRIVAL_SCHEDULED","0","0","0","8[1]",
"85665056969","OTHER","[BREAK]BREAK","","2026/02/15 12:00 BRT - 2026/02/15 13:00 BRT","2026/02/15 12:00 BRT","","","0.0","2026/01/16 09:25 BRT","ARRIVAL_SCHEDULED","0","0","0","8[1]",
"86027056969","OTHER","[BREAK]BREAK","","2026/02/15 12:00 BRT - 2026/02/15 13:00 BRT","2026/02/15 12:00 BRT","","","0.0","2026/01/16 09:12 BRT","ARRIVAL_SCHEDULED","0","0","0","9[1]",
"86389056969","OTHER","[BREAK]BREAK","","2026/02/15 12:00 BRT - 2026/02/15 13:00 BRT","2026/02/15 12:00 BRT","","","0.0","2026/01/16 09:24 BRT","ARRIVAL_SCHEDULED","0","0","0","10[1]",
"86751056969","OTHER","[BREAK]BREAK","","2026/02/15 12:00 BRT - 2026/02/15 13:00 BRT","2026/02/15 12:00 BRT","","","0.0","2026/01/16 09:54 BRT","ARRIVAL_SCHEDULED","0","0","0","7[1]",
"87113056969","OTHER","[BREAK]BREAK","","2026/02/15 15:45 BRT - 2026/02/15 16:00 BRT","2026/02/15 15:45 BRT","","","0.0","2026/01/16 15:06 BRT","ARRIVAL_SCHEDULED","0","0","0","1[1]",
"87475056969","OTHER","[BREAK]BREAK","","2026/02/15 15:45 BRT - 2026/02/15 16:00 BRT","2026/02/15 15:45 BRT","","","0.0","2026/01/16 15:19 BRT","ARRIVAL_SCHEDULED","0","0","0","2[1]",
"87837056969","OTHER","[BREAK]BREAK","","2026/02/15 15:45 BRT - 2026/02/15 16:00 BRT","2026/02/15 15:45 BRT","","","0.0","2026/01/16 15:45 BRT","ARRIVAL_SCHEDULED","0","0","0","3[1]",
"88199056969","OTHER","[BREAK]BREAK","","2026/02/15 15:45 BRT - 2026/02/15 16:00 BRT","2026/02/15 15:45 BRT","","","0.0","2026/01/16 15:40 BRT","ARRIVAL_SCHEDULED","0","0","0","4[1]",
"88561056969","OTHER","[BREAK]BREAK","","2026/02/15 15:45 BRT - 2026/02/15 16:00 BRT","2026/02/15 15:45 BRT","","","0.0","2026/01/16 15:37 BRT","ARRIVAL_SCHEDULED","0","0","0","5[1]",
"88923056969","OTHER","[BREAK]BREAK","","2026/02/15 15:45 BRT - 2026/02/15 16:00 BRT","2026/02/15 15:45 BRT","","","0.0","2026/01/16 15:48 BRT","ARRIVAL_SCHEDULED","0","0","0","6[1]",
"89285056969","OTHER","[BREAK]BREAK","","2026/02/15 15:45 BRT - 2026/02/15 16:00 BRT","2026/02/15 15:45 BRT","","","0.0","2026/01/16 15:56 BRT","ARRIVAL_SCHEDULED","0","0","0","7[1]",
"89648056969","OTHER","[BREAK]BREAK","","2026/02/15 15:45 BRT - 2026/02/15 16:00 BRT","2026/02/15 15:45 BRT","","","0.0","2026/01/16 15:29 BRT","ARRIVAL_SCHEDULED","0","0","0","8[1]",
"90010056969","OTHER","[BREAK]BREAK","","2026/02/15 15:45 BRT - 2026/02/15 16:00 BRT","2026/02/15 15:45 BRT","","","0.0","2026/01/16 15:51 BRT","ARRIVAL_SCHEDULED","0","0","0","9[1]",
"90372056969","OTHER","[BREAK]BREAK","","2026/02/15 15:45 BRT - 2026/02/15 16:00 BRT","2026/02/15 15:45 BRT","","","0.0","2026/01/16 15:15 BRT","ARRIVAL_SCHEDULED","0","0","0","10[1]",
"91585056969","CARP","[DUMMY]DUMMY_CARRIER","2026/02/09 08:00 BRT","2026/02/15 08:00 BRT - 2026/02/15 09:30 BRT","2026/02/15 08:00 BRT","","","0.25","2026/02/05 09:47 BRT","ARRIVAL_SCHEDULED","0","706","706","1[1]",
"91680056969","TRANSSHIP","[MFDBR]MFDBR","2026/02/15 06:00 BRT","2026/02/15 06:30 BRT - 2026/02/15 07:30 BRT","2026/02/15 06:30 BRT","","","2000.00","2026/02/05 06:46 BRT","ARRIVAL_SCHEDULED","0","0","0","100[181]",
"91681056969","TRANSSHIP","[TVBR]TVBR","2026/02/15 01:00 BRT","2026/02/15 01:00 BRT - 2026/02/15 02:00 BRT","2026/02/15 01:00 BRT","","","2000.00","2026/02/05 06:45 BRT","ARRIVAL_SCHEDULED","0","0","0","100[181]",
"91722056969","CARP","[FIXED]FIXED","2026/02/15 11:00 BRT","2026/02/15 11:00 BRT - 2026/02/15 12:00 BRT","2026/02/15 11:00 BRT","","","0.0","2026/02/05 18:32 BRT","ARRIVAL_SCHEDULED","28","2016","2016","1[1]",
"91875056969","TRANSSHIP","[TVBR]TVBR","2026/02/15 17:00 BRT","2026/02/15 17:00 BRT - 2026/02/15 18:00 BRT","2026/02/15 17:00 BRT","","","0.0","2026/02/12 09:25 BRT","DELETED","0","0","0","100[181]",
